id_reseau,annee,energie_produite_gwh,energie_vendue_gwh,pertes_reseau_gwh,prix_vente_kwh,cout_production_kwh,cout_maintenance_eur,recettes_eur,charges_eur,investissements_eur,subventions_eur,taux_occupation_pct,dju_annuel
RCU001,2020,412.5,359.0,53.5,0.072,0.048,1850000,25848000,20670000,3200000,1200000,89.5,2520
RCU001,2021,428.3,373.6,54.7,0.075,0.050,1920000,28020000,21680000,2800000,980000,91.2,2580
RCU001,2022,435.7,380.2,55.5,0.079,0.052,1980000,30035800,22564000,3500000,1100000,92.8,2490
RCU001,2023,441.2,385.8,55.4,0.083,0.054,2050000,32021400,23620000,2200000,850000,93.4,2610
RCU002,2020,187.4,171.0,16.4,0.069,0.041,820000,11799000,8690000,1500000,2100000,95.2,2520
RCU002,2021,195.2,178.2,17.0,0.072,0.043,860000,12830400,8994000,1200000,1800000,96.1,2580
RCU002,2022,198.6,181.5,17.1,0.076,0.045,890000,13794000,9356000,1800000,1650000,96.8,2490
RCU002,2023,201.3,184.2,17.1,0.080,0.047,920000,14736000,9700000,900000,1400000,97.2,2610
RCU003,2020,285.6,241.5,44.1,0.078,0.055,1420000,18837000,15774000,2800000,400000,82.1,2180
RCU003,2021,291.8,246.8,45.0,0.082,0.057,1480000,20237600,16438000,2400000,350000,83.5,2240
RCU003,2022,296.4,250.2,46.2,0.086,0.059,1530000,21517200,17074000,3100000,380000,84.2,2120
RCU003,2023,299.1,252.8,46.3,0.091,0.062,1580000,22504800,17678000,1900000,310000,84.9,2280
RCU004,2020,148.2,133.2,15.0,0.074,0.049,680000,9856800,8076000,1100000,950000,88.4,2180
RCU004,2021,153.6,138.0,15.6,0.077,0.051,710000,10626000,8406000,950000,820000,89.7,2240
RCU004,2022,156.8,141.2,15.6,0.081,0.053,740000,11437200,8678000,1300000,750000,90.5,2120
RCU004,2023,158.9,143.2,15.7,0.086,0.055,770000,12315200,9020000,800000,680000,91.2,2280
RCU005,2020,498.3,462.9,35.4,0.067,0.038,2200000,31014300,21023000,4100000,3500000,97.8,2890
RCU005,2021,512.4,476.3,36.1,0.070,0.040,2280000,33341000,21964000,3600000,3100000,98.2,2940
RCU005,2022,518.7,482.2,36.5,0.074,0.042,2350000,35682800,22940000,4800000,2800000,98.5,2810
RCU005,2023,521.9,485.5,36.4,0.078,0.044,2410000,37869000,23904000,2900000,2500000,98.7,2960
RCU006,2020,58.4,52.0,6.4,0.071,0.047,310000,3692000,2925000,900000,1800000,90.1,2890
RCU006,2021,61.2,54.5,6.7,0.074,0.049,325000,4033000,3053000,780000,1600000,91.4,2940
RCU006,2022,62.8,55.9,6.9,0.078,0.051,340000,4360200,3165000,1100000,1450000,92.0,2810
RCU006,2023,63.9,56.9,7.0,0.083,0.053,355000,4722700,3280000,680000,1300000,92.6,2960
RCU007,2020,231.8,199.5,32.3,0.075,0.051,1150000,14962500,12857000,2100000,680000,85.8,2320
RCU007,2021,238.4,205.2,33.2,0.079,0.053,1200000,16210800,13270000,1800000,590000,86.9,2380
RCU007,2022,242.1,208.6,33.5,0.083,0.055,1240000,17313800,13736000,2400000,540000,87.5,2250
RCU007,2023,244.8,210.9,33.9,0.088,0.058,1280000,18559200,14304000,1500000,490000,88.0,2420
RCU008,2020,168.3,136.5,31.8,0.089,0.072,980000,12148500,14518000,1400000,0,78.2,1820
RCU008,2021,171.5,139.0,32.5,0.094,0.076,1020000,13066000,15444000,1200000,0,79.1,1870
