reseau_id,ville,type_reseau,source_energie,longueur_km,nb_abonnes,puissance_mw,chaleur_prod_gwh,capex_total_keur,opex_annuel_meur,revenue_annuel_meur,ebitda_meur,prix_chaleur_mwh,npv_meur_25ans,irr_pct,payback_ans,taux_enr_pct,co2_evite_t
1,Grenoble,residentiel,biomasse,15.1,976,47.9,250.37,22664,0.715,23.331,22.616,93.18,296.08,25.0,1.0,95.1,44306
2,Paris,mixte,recuperation_chaleur,5.9,460,15.8,82.69,9321,0.307,7.191,6.884,86.96,87.7,25.0,1.4,83.6,17646
3,Nantes,mixte,geothermie,20.6,814,60.0,257.83,18567,0.331,17.014,16.683,65.99,216.56,25.0,1.1,99.6,48802
4,Strasbourg,industriel,geothermie,23.5,992,80.2,303.94,30526,0.796,30.159,29.363,99.23,383.31,25.0,1.0,98.9,65421
5,Grenoble,tertiaire,geothermie,3.1,149,9.6,47.33,2635,0.045,4.465,4.42,94.35,59.66,25.0,1.0,100.0,8695
6,Nantes,mixte,recuperation_chaleur,4.9,153,14.1,65.62,6825,0.194,6.276,6.082,95.64,78.89,25.0,1.1,77.7,14160
7,Rennes,residentiel,geothermie,13.3,369,38.5,151.46,15905,0.328,9.422,9.094,62.21,112.27,25.0,1.7,96.4,26234
8,Grenoble,industriel,biomasse,9.8,475,22.1,71.52,9540,0.269,4.42,4.151,61.81,48.96,25.0,2.3,94.8,15243
9,Marseille,mixte,biomasse,12.0,403,18.9,91.99,11089,0.328,9.752,9.424,106.02,121.73,25.0,1.2,94.2,15828
10,Strasbourg,industriel,electricite,6.7,403,17.4,63.62,10085,0.306,4.89,4.584,76.87,54.52,25.0,2.2,27.3,11449
11,Grenoble,residentiel,electricite,22.5,1040,45.8,244.67,22606,0.388,17.507,17.119,71.55,218.67,25.0,1.3,28.7,46564
12,Bordeaux,tertiaire,recuperation_chaleur,21.0,1469,52.9,190.57,40113,1.337,15.602,14.265,81.87,160.94,25.0,2.8,78.7,34468
13,Grenoble,mixte,biomasse,12.8,793,46.5,153.77,19165,0.376,14.063,13.687,91.46,173.74,25.0,1.4,93.3,27716
14,Montpellier,residentiel,electricite,26.8,1038,55.9,283.85,32595,0.513,30.531,30.018,107.56,390.48,25.0,1.1,28.8,49020
15,Montpellier,mixte,gaz_naturel,16.9,1181,27.8,94.05,25504,0.666,6.654,5.988,70.75,58.89,19.93,4.3,6.9,2822
16,Grenoble,mixte,recuperation_chaleur,6.7,457,14.8,51.03,5543,0.124,5.402,5.278,105.86,68.84,25.0,1.1,78.0,9721
17,Strasbourg,residentiel,geothermie,15.8,683,35.3,158.8,30814,0.974,8.951,7.977,56.37,81.61,20.7,3.9,100.0,34181
18,Marseille,mixte,biomasse,6.2,231,19.6,101.65,8548,0.266,8.695,8.429,85.54,110.25,25.0,1.0,99.2,19232
19,Grenoble,tertiaire,biomasse,22.5,1371,65.1,227.27,39134,0.835,20.424,19.589,89.87,236.95,25.0,2.0,94.8,48053
20,Bordeaux,residentiel,electricite,11.8,334,40.8,154.05,10611,0.361,9.37,9.009,60.82,116.36,25.0,1.2,28.3,29540
21,Lille,mixte,geothermie,10.7,342,33.8,167.09,14809,0.308,10.48,10.172,62.72,128.55,25.0,1.5,100.0,31978
22,Bordeaux,residentiel,biomasse,7.6,155,19.1,103.7,10555,0.267,8.094,7.827,78.05,99.76,25.0,1.3,98.5,20398
23,Bordeaux,residentiel,geothermie,28.7,1929,101.5,431.56,55259,1.112,46.67,45.558,108.14,586.83,25.0,1.2,100.0,83666
24,Lyon,industriel,recuperation_chaleur,10.9,652,20.9,70.22,16198,0.546,6.164,5.618,87.78,62.98,25.0,2.9,83.0,12767
25,Rennes,tertiaire,biomasse,9.0,560,14.0,42.49,12314,0.225,4.517,4.292,106.32,48.18,25.0,2.9,95.3,7650
26,Lyon,residentiel,gaz_naturel,9.5,635,16.4,58.62,10644,0.169,5.817,5.648,99.24,68.96,25.0,1.9,6.3,1759
27,Paris,industriel,gaz_naturel,17.7,841,58.5,194.78,21203,0.503,15.72,15.217,80.71,193.26,25.0,1.4,2.9,5843
28,Rennes,tertiaire,recuperation_chaleur,15.7,849,41.7,195.75,22369,0.78,19.215,18.435,98.16,237.45,25.0,1.2,82.3,33950
29,Lille,residentiel,geothermie,16.3,462,31.0,102.44,21625,0.71,5.735,5.025,55.98,49.2,18.35,4.3,97.0,21923
30,Nantes,tertiaire,recuperation_chaleur,16.5,443,45.4,193.67,13628,0.408,11.814,11.406,61.0,147.13,25.0,1.2,81.9,41473
